k,silhouette,calinski_harabasz,davies_bouldin
3,0.34426133902260864,7620.430470346635,1.1839003274684483
4,0.3069677294706544,7831.410922659921,1.1298794621767128
5,0.30761785405716424,11244.385783000267,1.173335155484088
6,0.3163448058637506,12681.936643497049,1.1297225384566392
7,0.29864091504240353,12812.329448845603,1.1884577124966071
8,0.30251784864427744,15348.77179920515,1.1763147215508059
9,0.2954590559394228,15827.494724691014,1.1495718034930582
10,0.30079297261373106,16145.243362394016,1.0644068374900377
